    Mat, Size, Cbef, Caft, Cdiag, Reduce,-log(1-Reduce), Time,Better,
ex1,216,1.695E+04,7.532E+01,8.818E+01,0.995556,2.352226,0.926692,1.171E+00,
ex5,27,3.457E+07,3.443E+07,7.392E+07,0.004130,0.001797,0.102971,2.147E+00,
b1_ss,7,3.896E+04,7.115E+01,7.581E+01,0.998174,2.738499,0.107598,1.065E+00,
    d_dyn,87,4.941E+07,2.718E+07,5.37E+07,0.449806,0.259484,0.154185,1.9757174392936E+00,
d_dyn1,87,3.799E+07,2.324E+07,4.598E+07,0.388401,0.213533,0.212365,1.978E+00,
    d_ss,53,7.596E+07,3.611E+07,3.591E+07,0.524657,0.322993,0.174045,9.945E-01,
    lp_adlittle,138,2.077E+07,1.976E+07,5.74E+07,0.048207,0.021457,0.248500,2.90485829959514E+00,
    lp_afiro,51,2.299E+07,1.711E+07,2.24E+07,0.255975,0.128412,0.129797,1.30917592051432E+00,
    lp_bandm,472,1.055E+07,4.584E+06,1.481E+07,0.565650,0.362160,3.579121,3.231E+00,
    lp_beaconfd,295,8.045E+06,5.414E+06,3.167E+07,0.327030,0.172004,2.481520,5.850E+00,
    lp_blend,114,1.085E+07,2.7E+06,4.689E+06,0.751234,0.604209,0.229854,1.73666666666667E+00,
lp_bore3d,334,5.691E+06,1.693E+06,1.527E+07,0.702497,0.526509,1.908079,9.019E+00,
    lp_brandy,303,1.268E+07,2.525E+06,9.341E+06,0.800858,0.700837,2.202008,3.699E+00,
    lp_capri,482,1.781E+07,3.544E+06,9.499E+06,0.801002,0.701151,2.749435,2.680E+00,
lp_e226,472,7.518E+06,2.876E+06,7.345E+07,0.617431,0.417290,5.803117,2.554E+01,
    lp_israel,316,2.213E+07,1.54E+07,8.211E+07,0.303837,0.157289,1.090616,5.33181818181818E+00,
lp_kb2,68,2.378E+07,1.584E+07,3.134E+07,0.333936,0.176484,0.396778,1.979E+00,
    lp_lotfi,366,3.101E+06,1.475E+06,2.984E+07,0.524448,0.322802,3.473910,2.023E+01,
    lp_recipe,204,2.359E+07,9.999E+06,9.718E+06,0.576179,0.372818,0.563452,9.719E-01,
lp_sc105,163,1.681E+07,1.418E+07,1.942E+07,0.155977,0.073646,0.320327,1.370E+00,
lp_sc205,317,1.682E+07,1.424E+07,1.949E+07,0.153231,0.072235,0.804767,1.369E+00,
lp_sc50a,78,1.676E+07,1.39E+07,1.908E+07,0.170654,0.081264,0.150149,1.3726618705036E+00,
lp_sc50b,78,1.505E+07,1.227E+07,1.694E+07,0.184765,0.088717,0.148078,1.381E+00,
lp_scagr7,185,1.053E+07,1.761E+06,2.693E+06,0.832777,0.776704,0.393990,1.529E+00,
    lp_scorpion,466,7.188E+06,5.136E+06,8.973E+06,0.285497,0.145996,1.739667,1.747E+00,
lp_share1b,253,1.991E+07,1.298E+07,1.077E+08,0.348287,0.185944,1.026345,8.297E+00,
lp_share2b,162,2.101E+07,1.321E+07,2.775E+07,0.371176,0.201471,0.472567,2.101E+00,
lp_stocfor1,165,1.46E+07,9.642E+06,2.154E+07,0.339626,0.180210,0.431685,2.234E+00,
    lp_vtp_base,346,2.89E+07,6.588E+04,5.285E+05,0.997720,2.642065,2.345079,8.022E+00,
    lpi_bgprtr,40,2.497E+07,6.505E+05,1.091E+06,0.973943,1.584076,0.147450,1.677E+00,
lpi_box1,261,3.616E+07,2.108E+07,4.128E+07,0.416908,0.234263,0.692226,1.958E+00,
lpi_cplex2,378,1.344E+07,8.448E+06,1.189E+07,0.371548,0.201728,1.543225,1.407E+00,
lpi_ex72a,215,8.578E+06,5.964E+06,9.181E+06,0.304744,0.157855,0.449019,1.539E+00,
lpi_ex73a,211,8.578E+06,5.968E+06,8.855E+06,0.304278,0.157564,0.398350,1.484E+00,
lpi_forest6,131,7.137E+06,7.003E+06,8.16E+06,0.018793,0.008239,0.217445,1.16521490789662E+00,
    lpi_galenet,14,5.895E+06,5.324E+06,6.323E+06,0.096880,0.044255,0.107415,1.188E+00,
lpi_itest2,13,1.786E+07,5.946E+06,6.415E+06,0.667043,0.477612,0.109737,1.079E+00,
lpi_itest6,17,1.124E+07,6.547E+06,7.369E+06,0.417575,0.234760,0.115537,1.126E+00,
lpi_klein1,108,1.431E+07,2.869E+06,5.145E+06,0.799539,0.697970,0.444161,1.793E+00,
    lpi_qual,464,2.44E+07,1.233E+05,4.093E+05,0.994946,2.296365,2.865512,3.320E+00,
    lpi_refinery,464,2.44E+07,1.154E+05,3.669E+05,0.995271,2.325231,2.687036,3.179E+00,
lpi_vol1,464,2.44E+07,1.233E+05,4.093E+05,0.994946,2.296365,2.806833,3.320E+00,
    lpi_woodinfe,89,8.685E+06,8.619E+06,1.008E+07,0.007664,0.003341,0.156514,1.170E+00,
lp_nug05,225,9.453E+06,9.445E+06,1.167E+07,0.000832,0.000361,0.484108,1.236E+00,
lp_nug06,486,5.863E+06,5.862E+06,8E+06,0.000082,0.000036,2.855134,1.36472193790515E+00,
utm300,300,5.52E+06,2.591E+06,5.52E+06,0.530525,0.328388,1.371771,2.13045156310305E+00,
    pivtol,102,1.201E+04,6.731E+02,6.756E+02,0.943974,1.251610,0.181140,1.004E+00,
mesh1e1,48,2.756E+01,1.5E+01,1.832E+01,0.455693,0.264156,0.141812,1.22133333333333E+00,
mesh1em1,48,3.609E+02,1.553E+02,1.634E+02,0.569767,0.366296,0.187848,1.052E+00,
mesh1em6,48,3.731E+01,2.348E+01,2.422E+01,0.370796,0.201209,0.149999,1.032E+00,
